diagnosis,area_se,concavity_worst,area_mean,smoothness_mean,concavity_mean,smoothness
B,12.84,0.1848,546.3,0.1071,0.05786,Smooth
B,20.64,0.1742,571.1,0.0995,0.04548,Smooth
B,13.87,0.4004,747.2,0.1043,0.1191,Smooth
B,30.19,0.4896,476.7,0.09514,0.1544,Rough
B,19.98,0.2437,666,0.08641,0.05192,Rough
M,67.74,0.5936,1167,0.1089,0.2256,Smooth
B,27.57,0.149,420.5,0.1128,0.04279,Smooth
M,22.95,0.2477,857.6,0.07497,0.03649,Rough
B,18.04,0.123,466.5,0.08192,0.01714,Rough
B,50.95,0.1048,992.1,0.07838,0.04445,Rough
M,89.74,0.2544,1007,0.1001,0.117,Smooth
B,24.6,0.01674,477.3,0.07372,0.007173,Rough
B,26.07,0.07698,538.7,0.07335,0.018,Rough
B,21.84,0.17,680.9,0.09587,0.06824,Rough
B,18.4,0.3582,485.6,0.1076,0.08017,Smooth
B,11.91,0.2028,480.1,0.08928,0.03609,Rough
M,95.77,0.3533,1068,0.1012,0.1491,Smooth
M,75.09,0.5179,1320,0.1085,0.2188,Smooth
B,34.84,0.1856,689.4,0.09883,0.07721,Smooth
M,39.05,0.3381,595.9,0.1162,0.1357,Smooth
B,18.49,0.1889,476.3,0.1158,0.05928,Smooth
M,180.2,0.3794,1682,0.09342,0.1676,Rough
B,20.04,0.2099,248.7,0.1634,0.0973,Smooth
B,17.67,0.2913,272.5,0.1255,0.1188,Smooth
B,12.58,0.3535,453.1,0.1096,0.08175,Smooth
B,12.3,0.1256,366.5,0.1194,0.04063,Smooth
B,20.67,0.1947,819.8,0.09427,0.05526,Rough
M,32.52,0.5911,731.3,0.1183,0.203,Smooth
B,13.04,0.269,426,0.08099,0.06726,Rough
B,20.72,0.1101,680.7,0.08472,0.03416,Rough
M,33.67,0.5106,556.7,0.1106,0.1445,Smooth
B,37.11,0.2492,658.8,0.09832,0.08222,Smooth
M,38.49,0.2866,701.9,0.09215,0.07486,Rough
B,18.19,0.1624,391.2,0.1049,0.04302,Smooth
M,67.36,0.3759,1052,0.1068,0.1569,Smooth
M,59.7,0.4185,1214,0.1037,0.1411,Smooth
B,34.37,0.1246,493.1,0.1218,0.04825,Smooth
B,28.62,0.1423,493.8,0.1125,0.0388,Smooth
B,19.63,0.09996,257.8,0.1371,0.03332,Smooth
M,139.9,0.4658,1841,0.103,0.231,Smooth
B,9.332,0.02533,388.1,0.08511,0.005067,Rough
B,26.45,0.1935,571,0.09916,0.05385,Smooth
B,15.24,0.08434,293.2,0.09492,0.0233,Rough
B,7.254,0.1754,221.3,0.1036,0.02565,Smooth
B,16.07,0.2654,551.1,0.1075,0.04201,Smooth
B,8.955,0.1791,468.5,0.09003,0.02958,Rough
B,44.74,0.1559,594.2,0.1248,0.101,Smooth
B,18.54,0.1622,445.2,0.11,0.03781,Smooth
B,30.66,0.1366,422.9,0.1073,0.05282,Smooth
B,15.34,0.2758,416.2,0.1016,0.042,Smooth
B,17.25,0.1206,575.5,0.09277,0.01752,Rough
M,100.4,0.3092,1299,0.09156,0.1523,Rough
B,10.09,0.2123,365.6,0.09687,0.05263,Smooth
M,87.78,0.4433,1308,0.1046,0.2085,Smooth
M,18.54,0.4234,629.8,0.1038,0.1463,Smooth
B,20.95,0.1395,406.4,0.1236,0.04515,Smooth
B,19.14,0,178.8,0.08098,0,Rough
B,11.73,0.3393,170.4,0.08668,0.09252,Rough
B,20.86,0.1797,402.9,0.09984,0.06737,Smooth
B,23.11,0.404,656.4,0.08837,0.1009,Rough
B,27.41,0.1611,668.6,0.08275,0.04105,Rough
B,17.85,0.1062,538.4,0.08671,0.02987,Rough
B,23.12,0.1377,584.8,0.09578,0.03688,Rough
B,31.24,0.1049,573.2,0.09246,0.02974,Rough
B,12.97,0.04384,324.9,0.09434,0.01012,Rough
B,7.326,0.1783,320.8,0.08877,0.04358,Rough
B,18.24,0.0935,285.7,0.08491,0.02337,Rough
B,33,0.06194,361.6,0.08192,0.01548,Rough
B,20.67,0,360.5,0.07431,0,Rough
B,17.85,0.1564,378.4,0.09566,0.04824,Rough
B,18.76,0.08653,507.9,0.08276,0.01997,Rough
B,17.86,0.07993,264,0.0924,0.03996,Rough
B,16.83,0.2439,514.3,0.08123,0.06195,Rough
B,14.46,0.2,321.4,0.0903,0.05999,Rough
B,16.8,0.01005,311.7,0.1003,0.005025,Smooth
B,29.11,0,271.3,0.08123,0,Rough
B,19.54,0.3662,657.1,0.08473,0.1029,Rough
B,16.97,0.363,403.5,0.09261,0.1112,Rough
B,29.84,0.1326,600.4,0.09929,0.04462,Smooth
B,22.81,0,386,0.07449,0,Rough
M,22.65,1.17,716.9,0.1048,0.255,Smooth
M,118.8,0.6599,1347,0.1099,0.3174,Smooth
M,158.7,0.4107,1479,0.111,0.2439,Smooth
M,99.04,0.3215,1261,0.0978,0.144,Smooth
M,48.55,0.3403,858.1,0.08455,0.09251,Rough
M,86.22,0.9387,1265,0.1178,0.3514,Smooth
B,19.15,0,181,0.05263,0,Rough
